symptom	name	labs	labNames
RADIATION_PNEUMONITIS	radiation pneumonitis	(ARTERIAL_BLOOD_GAS)	(arterial blood gas (ABG))
CMV_PNEUMONITIS	cytomegalovirus (CMV) pneumonitis	(COMPLETE_BLOOD_COUNT ARTERIAL_BLOOD_GAS)	(complete blood count (CBC) arterial blood gas (ABG))
SEPSIS	sepsis	(LACTATE_IN_SERUM/PLASMA BLOOD_CULTURE SPUTUM_CULTURE URINE_CULTURE URINALYSIS COMPLETE_BLOOD_COUNT CHEMISTRY_7_PANEL SODIUM_IN_SERUM POTASSIUM_IN_SERUM ANION_GAP CREATININE_IN_SERUM/PLASMA UREA_NITROGEN_IN_BLOOD GLUCOSE_IN_SERUM/PLASMA CULTURE WOUND_CULTURE BILIRUBIN_TOTAL_IN_SERUM ALANINE_AMINOTRANSFERASE_IN_SERUM ASPARTATE_AMINOTRANSFERASE_IN_SERUM AMYLASE_IN_SERUM FIBRINOGEN_IN_PLASMA DIC_PANEL D_DIMER_IN_PLASMA PT/PTT PARTIAL_THROMBOPLASTIN_TIME ARTERIAL_BLOOD_GAS PAO2/FIO2 PARTIAL_PRESSURE_OF_OXYGEN_IN_ARTERIAL_BLOOD HEMOGLOBIN_OXYGEN_SATURATION CORTISOL_IN_SERUM COSYNTROPIN_STIMULATION_TEST)	(lactate in serum/plasma blood culture culture of sputum urine culture urinalysis (UA) complete blood count (CBC) chemistry 7 panel (Chem-7 SMA7) sodium (Na+) in serum potassium (K+) in serum/plasma anion gap creatinine in serum/plasma urea nitrogen in blood; blood urea nitrogen (BUN) glucose in serum/plasma culture culture of wound bilirubin (total) in serum (TBIL) alanine aminotransferase (ALT) in serum (SGPT) aspartate aminotransferase (AST) in serum (SGOT) amylase in serum fibrinogen in plasma DIC panel D-dimer in plasma (SimpliRED) PT/PTT partial thromboplastin time (PTT) arterial blood gas (ABG) partial pressure of oxygen in arterial blood/fractional inspired oxygen; PaO2/FiO2 partial pressure of oxygen in arterial blood (PaO2) hemoglobin oxygen saturation cortisol in serum cosyntropin (ACTH, Cortrosyn) stimulation test (delta cortisol test))
PLEURITIS	pleuritis (pleurisy)	(COMPLETE_BLOOD_COUNT SEROLOGY NUCLEAR_ANTIBODY_IN_BODY_FLUID RHEUMATOID_FACTOR)	(complete blood count (CBC) serology nuclear antibody in body fluid rheumatoid factor (RF))
PERICARDITIS	pericarditis	(COMPLETE_BLOOD_COUNT ELEVATED_ERYTHROCYTE_SEDIMENTATION_RATE ERYTHROCYTE_SEDIMENTATION_RATE)	(complete blood count (CBC) elevated erythrocyte sedimentation rate erythrocyte sedimentation rate (ESR))
STOMATITIS	stomatitis	(SEROLOGY CYTOLOGY MICROSCOPY)	(serology cytology microscopy)
MALAR_RASH	malar rash (butterfly rash)	(NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM)	(nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum)
ATROPHIC_GASTRITIS	atrophic gastritis	(SEROLOGY UREASE_IN_TISSUE ANTI_PARIETAL_CELL_ANTIBODY ANTI_INTRINSIC_FACTOR_ANTIBODY VITAMIN_B12_IN_SERUM/PLASMA GASTRIN_IN_SERUM)	(serology urease in tissue anti-parietal cell antibody (PCellAb) anti-intrinsic factor antibody (INTRINS) vitamin B12 in serum/plasma gastrin in serum)
MICROSCOPIC_COLITIS	microscopic (collagenous or lymphocytic) colitis	(TISSUE_TRANSGLUTAMINASE_IGA_AUTOANTIBODY)	(tissue transglutaminase IgA autoantibody in serum)
CHOLERA	cholera	(STOOL_CULTURE ELECTROLYTE_PANEL COMPLETE_BLOOD_COUNT)	(culture of stool for enteric pathogens electrolyte panel complete blood count (CBC))
PSEUDOMEMBRANOUS_ENTEROCOLITIS	pseudomembranous enterocolitis; C difficile-associated diarrhea (CDAD, CDD)	(C_DIFFICILE_ENTEROTOXIN_IN_STOOL CLOSTRIDIUM_DIFFICILE_ENTEROTOXIN_A_IN_STOOL CLOSTRIDIUM_DIFFICILE_ENTEROTOXIN_B_IN_STOOL C_DIFFICILE_ENTEROTOXIN_B_&_EPIDEMIC_027/NAP1/BI_STRAIN TISSUE_CULTURE CLOSTRIDIUM_DIFFICILE_TOXIN_GENES_IN_STOOL POLYMERASE_CHAIN_REACTION STOOL_CULTURE ANTIBIOTIC_SENSITIVITY COMPLETE_BLOOD_COUNT WHITE_BLOOD_CELL_COUNT CREATININE_IN_SERUM/PLASMA)	(C difficile enterotoxin (C difficile enterotoxin A+B) in stool Clostridium difficile enterotoxin A in stool Clostridium difficile enterotoxin B in stool C difficile enterotoxin B & epidemic 027/NAP1/BI strain (Cepheid Xpert C. difficile/Epi assay) tissue culture Clostridium difficile toxin genes in stool polymerase chain reaction (PCR) culture of stool for enteric pathogens antibiotic sensitivity (Kirby-Bauer susceptibility testing) complete blood count (CBC) white blood cell count (WBC with WBC differential) creatinine in serum/plasma)
TYPHLITIS	typhlitis; necrotizing/neutropenic enterocolitis; necrotizing enteropathy; ileocecal syndrome; cecitis	(BLOOD_CULTURE COMPLETE_BLOOD_COUNT STOOL_CULTURE)	(blood culture complete blood count (CBC) culture of stool for enteric pathogens)
PYODERMA_GANGRENOSUM	pyoderma gangrenosum	(COMPLETE_BLOOD_COUNT RENAL_FUNCTION_TEST LIVER_FUNCTION_TEST BROMIDE_IN_SERUM/PLASMA HEPATITIS_PROFILE URINALYSIS URINE_PROTEIN_ELECTROPHORESIS IMMUNOFIXATION_ELECTROPHORESIS NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTI_PHOSPHOLIPID_ANTIBODY ANTI_NEUTROPHIL_CYTOPLASMIC_ANTIBODY RHEUMATOID_FACTOR ERYTHROCYTE_SEDIMENTATION_RATE BACTERIAL_CULTURE TISSUE_CULTURE VIRAL_CULTURE BONE_MARROW_BIOPSY)	(complete blood count (CBC) renal function tests; renal function panel liver (function) tests (LFT, liver panel, hepatic function panel) bromide in serum/plasma hepatitis profile (serology) urinalysis (UA) urine protein electrophoresis immunofixation electrophoresis (IFE) nuclear antibody in body fluid anti-phospholipid antibody anti-neutrophil cytoplasmic antibody (ANCA) rheumatoid factor (RF) erythrocyte sedimentation rate (ESR) bacterial culture tissue culture viral culture bone marrow biopsy)
GUILLAIN_BARRE_SYNDROME	Guillain-Barre syndrome (GBS)	(WHITE_BLOOD_CELL_COUNT)	(white blood cell count (WBC with WBC differential))
CHRONIC_INFLAMMATORY_DEMYELINATING_POLYRADICULONEUROPATHY	chronic inflammatory demyelinating polyradiculoneuropathy (CIDP)	(CEREBROSPINAL_FLUID_ANALYSIS PROTEIN_IN_CSF SERUM_PROTEIN_ELECTROPHORESIS CEREBROSPINAL_FLUID_PROTEIN_ELECTROPHORESIS BONE_MARROW_BIOPSY)	(cerebrospinal fluid analysis protein in cerebrospinal fluid (CSF) serum protein electrophoresis (SPE) cerebrospinal fluid (CSF) protein electrophoresis bone marrow biopsy)
SHIGELLOSIS	shigellosis (bacillary dysentery)	(FECAL_LEUKOCYTES ANTIBIOTIC_SENSITIVITY STOOL_CULTURE ELECTROLYTES_IN_SERUM UREA_NITROGEN_IN_SERUM/PLASMA PROTEIN_TOTAL_IN_SERUM COMPLETE_BLOOD_COUNT)	(fecal leukocytes antibiotic sensitivity (Kirby-Bauer susceptibility testing) culture of stool for enteric pathogens electrolytes in serum urea nitrogen in serum/plasma protein (total) in serum complete blood count (CBC))
DE_QUERVAIN^S_TENOSYNOVITIS	de Quervain's tenosynovitis (stenosing tenosynovitis)	(ERYTHROCYTE_SEDIMENTATION_RATE ELEVATED_ERYTHROCYTE_SEDIMENTATION_RATE)	(erythrocyte sedimentation rate (ESR) elevated erythrocyte sedimentation rate)
SEPTIC_SHOCK	septic shock	(BLOOD_CULTURE COMPLETE_BLOOD_COUNT LABORATORY_PANEL ELECTROLYTE_PANEL GLUCOSE_IN_SERUM/PLASMA RENAL_FUNCTION_TEST LIVER_FUNCTION_TEST)	(blood culture complete blood count (CBC) laboratory panel electrolyte panel glucose in serum/plasma renal function tests; renal function panel liver (function) tests (LFT, liver panel, hepatic function panel))
BILIARY_PERITONITIS	biliary peritonitis	(BILIRUBIN_TOTAL_IN_SERUM LIVER_FUNCTION_TEST)	(bilirubin (total) in serum (TBIL) liver (function) tests (LFT, liver panel, hepatic function panel))
RHEUMATOID_PLEURISY	rheumatoid pleurisy	(WHITE_BLOOD_CELL_COUNT NEGATIVE_LOG_H+_CONCENTRATION)	(white blood cell count (WBC with WBC differential) - logarithm[10] H+ concentration (pH))
CONSTRICTIVE_PERICARDITIS	constrictive pericarditis	(B_TYPE_NATRIURETIC_PEPTIDE_IN_SERUM/PLASMA)	(B-type natriuretic peptide (BNP & N-terminal pro-BNP) in serum/plasma)
GINGIVOSTOMATITIS	gingivostomatitis	(SEROLOGY CYTOLOGY)	(serology cytology)
HERPES_SIMPLEX_LABIALIS	Herpes simplex labialis (cold sore)	(TZANCK_SMEAR VIRAL_CULTURE)	(Tzanck smear viral culture)
STAPHYLOCOCCAL_SCALDED_SKIN_SYNDROME	Staphylococcal scalded skin syndrome	(BACTERIAL_CULTURE)	(bacterial culture)
MEASLES	measles (1st disease)	(VIRAL_CULTURE SEROLOGY MEASLES_VIRUS_ANTIBODY_IGM_IN_SERUM HEMAGGLUTINATION_INHIBITION_TEST COMPLETE_BLOOD_COUNT)	(viral culture serology measles virus (rubeola) antibody IgM in serum hemagglutination inhibition test (HAI) complete blood count (CBC))
RUBELLA	rubella (German measles, 3rd disease)	(SEROLOGY)	(serology)
ERYTHRODERMA	erythoderma (exfoliative dermatitis)	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR LIVER_FUNCTION_TEST RENAL_FUNCTION_TEST IGE_IN_SERUM)	(complete blood count (CBC) peripheral blood smear liver (function) tests (LFT, liver panel, hepatic function panel) renal function tests; renal function panel IgE in serum)
ROTAVIRUS_ENTERITIS	rotavirus enteritis	(ROTAVIRUS_RNA ELECTRON_MICROSCOPY VIRAL_CULTURE)	(rotavirus RNA electron microscopy (EM) viral culture)
ISCHEMIC_COLITIS	ischemic colitis (ischemic bowel)	(COMPLETE_BLOOD_COUNT LABORATORY_PANEL GLUCOSE_IN_SERUM/PLASMA CREATININE_IN_SERUM/PLASMA BICARBONATE_IN_SERUM INTERNATIONAL_NORMALIZED_RATIO)	(complete blood count (CBC) laboratory panel glucose in serum/plasma creatinine in serum/plasma bicarbonate (HCO3-) in serum International normalized ratio (INR))
FISHER^S_SYNDROME	Fisher syndrome (Miller-Fisher syndrome, anti GQ1b antibody syndrome)	(GANGLIOSIDE_GQ1B_ANTIBODY)	(ganglioside GQ1b antibody)
PRIMARY_BACTERIAL_PERITONITIS	primary or spontaneous bacterial peritonitis (SBP)	(CELL_COUNT CULTURE)	(cell count culture)
SECONDARY_BACTERIAL_PERITONITIS	secondary bacterial peritonitis (including tuberculous peritonitis)	(ASCITIC_FLUID_ANALYSIS)	(ascitic fluid analysis)
TUBERCULOUS_PERITONITIS	tuberculous peritonitis	(ASCITIC_FLUID_ANALYSIS)	(ascitic fluid analysis)
STRESS	stress	(INTERLEUKIN_6_IN_SERUM/PLASMA)	(interleukin-6 (IL6) in serum/plasma)
ELDER_ABUSE	elder abuse	(URINE_TOXICOLOGY)	(urine toxicology)
CHILD_ABUSE	child abuse	(QUALITATIVE_URINE_DRUG_SCREEN)	(qualitative urine drug screen)
CAREGIVER_STRESS	caregiver stress (caregiver burden)	(INTERLEUKIN_6_IN_SERUM/PLASMA)	(interleukin-6 (IL6) in serum/plasma)
PRIMARY_PULMONARY_HYPERTENSION	primary pulmonary hypertension (PPH)	(NUCLEAR_ANTIBODY_IN_BODY_FLUID ANTINUCLEAR_ANTIBODY_IN_SERUM ARTERIAL_BLOOD_GAS)	(nuclear antibody in body fluid anti-nuclear antibody (ANA) in serum arterial blood gas (ABG))
NORMAL_PRESSURE_HYDROCEPHALUS	normal pressure hydrocephalus (NPH)	(CEREBROSPINAL_FLUID_ANALYSIS)	(cerebrospinal fluid analysis)
THROMBOTIC_THROMBOCYTOPENIC_PURPURA	thrombotic thrombocytopenic purpura	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR RETICULOCYTE_COUNT LACTATE_DEHYDROGENASE_IN_SERUM UREA_NITROGEN_IN_SERUM/PLASMA CREATININE_IN_SERUM/PLASMA BILIRUBIN_TOTAL_IN_SERUM URINALYSIS WHITE_BLOOD_CELL_COUNT PROTHROMBIN_TIME PARTIAL_THROMBOPLASTIN_TIME FIBRINOGEN_IN_PLASMA NUCLEAR_ANTIBODY_IN_BODY_FLUID)	(complete blood count (CBC) peripheral blood smear reticulocyte count lactate dehydrogenase (LDH) in serum urea nitrogen in serum/plasma creatinine in serum/plasma bilirubin (total) in serum (TBIL) urinalysis (UA) white blood cell count (WBC with WBC differential) prothrombin time (PT) partial thromboplastin time (PTT) fibrinogen in plasma nuclear antibody in body fluid)
IMMUNE_THROMBOCYTOPENIC_PURPURA	immune or idiopathic thrombocytopenic purpura (ITP)	(COMPLETE_BLOOD_COUNT PLATELET_COUNT WHITE_BLOOD_CELL_COUNT HEMATOCRIT H_PYLORI_SEROLOGY BONE_MARROW_BIOPSY PERIPHERAL_BLOOD_SMEAR)	(complete blood count (CBC) platelet count white blood cell count (WBC with WBC differential) hematocrit (Hct) of blood Helicobacter pylori (H pylori) serology bone marrow biopsy peripheral blood smear)
HEMOLYTIC_TRANSFUSION_REACTION	hemolytic transfusion reaction	(DIRECT_ANTIGLOBULIN_TEST ANTI_HUMAN_GLOBULIN_TEST DIC_PANEL HEMOGLOBIN_IN_URINE COMPLETE_BLOOD_COUNT LACTATE_DEHYDROGENASE_IN_SERUM BILIRUBIN_TOTAL_IN_SERUM RETICULOCYTE_COUNT HAPTOGLOBIN_IN_SERUM TYPE&SCREEN CROSS_MATCH)	(direct antiglobulin test (DAT, direct Coomb's test) anti-human globulin test (Coomb's test) DIC panel hemoglobin in urine; urine occult blood complete blood count (CBC) lactate dehydrogenase (LDH) in serum bilirubin (total) in serum (TBIL) reticulocyte count haptoglobin in serum type & screen crossmatch)
HEMOLYTIC_ANEMIA	hemolytic anemia	(COMPLETE_BLOOD_COUNT PLATELET_COUNT RETICULOCYTE_COUNT PERIPHERAL_BLOOD_SMEAR DIRECT_ANTIGLOBULIN_TEST LACTATE_DEHYDROGENASE_IN_SERUM BILIRUBIN_TOTAL_IN_SERUM URINALYSIS HAPTOGLOBIN_IN_SERUM ERYTHROCYTE_OSMOTIC_FRAGILITY HEMOGLOBIN_ELECTROPHORESIS GLUCOSE_IN_SERUM/PLASMA BLOOD_CULTURE ACIDIFIED_SERUM_TEST)	(complete blood count (CBC) platelet count reticulocyte count peripheral blood smear direct antiglobulin test (DAT, direct Coomb's test) lactate dehydrogenase (LDH) in serum bilirubin (total) in serum (TBIL) urinalysis (UA) haptoglobin in serum erythrocyte osmotic fragility hemoglobin electrophoresis glucose in serum/plasma blood culture acidified serum test (Ham test, acid hemolysin test))
REGULATOR_TYPE_RH_NULL_HEMOLYTIC_ANEMIA	regulator type Rh-null hemolytic anemia (Rh-deficiency syndrome)	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR ERYTHROCYTE_OSMOTIC_FRAGILITY)	(complete blood count (CBC) peripheral blood smear erythrocyte osmotic fragility)
DRUG_INDUCED_HEMOLYTIC_ANEMIA	drug-induced hemolytic anemia	(LACTATE_DEHYDROGENASE_IN_SERUM DIRECT_ANTIGLOBULIN_TEST INDIRECT_ANTIGLOBULIN_TEST)	(lactate dehydrogenase (LDH) in serum direct antiglobulin test (DAT, direct Coomb's test) indirect antiglobulin test (IAT, indirect Coomb's test))
MICROANGIOPATHIC_HEMOLYTIC_ANEMIA	microangiopathic hemolytic anemia	(PERIPHERAL_BLOOD_SMEAR PLATELET_COUNT)	(peripheral blood smear platelet count)
HEMOLYTIC_UREMIC_SYNDROME	hemolytic uremic syndrome (HUS)	(RENAL_FUNCTION_TEST UREA_NITROGEN_IN_SERUM/PLASMA CREATININE_IN_SERUM/PLASMA URINALYSIS COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR)	(renal function tests; renal function panel urea nitrogen in serum/plasma creatinine in serum/plasma urinalysis (UA) complete blood count (CBC) peripheral blood smear)
PAROXYSMAL_NOCTURNAL_HEMOGLOBINURIA	paroxysmal nocturnal hemoglobinuria (PNH, Marchiafava-Micheli syndrome)	(COMPLETE_BLOOD_COUNT RETICULOCYTE_COUNT SUCROSE_HEMOLYSIS_TEST ACIDIFIED_SERUM_TEST LACTATE_DEHYDROGENASE_IN_SERUM BILIRUBIN_UNCONJUGATED_IN_SERUM LEUKOCYTE_ALKALINE_PHOSPHATASE URINALYSIS BONE_MARROW_BIOPSY)	(complete blood count (CBC) reticulocyte count sucrose hemolysis test acidified serum test (Ham test, acid hemolysin test) lactate dehydrogenase (LDH) in serum bilirubin unconjugated in serum leukocyte alkaline phosphatase (LAP) urinalysis (UA) bone marrow biopsy)
WARM_AUTOIMMUNE_HEMOLYTIC_ANEMIA	warm autoimmune hemolytic anemia	(COMPLETE_BLOOD_COUNT PERIPHERAL_BLOOD_SMEAR DIRECT_ANTIGLOBULIN_TEST ANTI_HUMAN_GLOBULIN_TEST)	(complete blood count (CBC) peripheral blood smear direct antiglobulin test (DAT, direct Coomb's test) anti-human globulin test (Coomb's test))
POSTPARTUM_HEMOLYTIC_UREMIC_SYNDROME	postpartum hemolytic uremic syndrome (HUS)	(PERIPHERAL_BLOOD_SMEAR COMPLETE_BLOOD_COUNT RENAL_FUNCTION_TEST)	(peripheral blood smear complete blood count (CBC) renal function tests; renal function panel)
COLD_AGGLUTININ_SYNDROME	cold agglutinin syndrome (primary cold agglutinin disease)	(DIRECT_ANTIGLOBULIN_TEST COMPLEMENT_C3D_IN_ERYTHROCYTES COMPLETE_BLOOD_COUNT MEAN_CORPUSCULAR_VOLUME PERIPHERAL_BLOOD_SMEAR ROULEAUX_IN_BLOOD PROTEIN_ELECTROPHORESIS IMMUNOFIXATION_ELECTROPHORESIS)	(direct antiglobulin test (DAT, direct Coomb's test) complement C3d in erythrocytes complete blood count (CBC) mean corpuscular volume (MCV) peripheral blood smear rouleaux in blood protein electrophoresis immunofixation electrophoresis (IFE))
PAROXYSMAL_COLD_HEMOGLOBINURIA	paroxysmal cold hemoglobinuria (PCH)	(METHEMOGLOBIN_IN_URINE DIRECT_ANTIGLOBULIN_TEST DONATH_LANDSTEINER_ANTIBODY_TEST PERIPHERAL_BLOOD_SMEAR)	(methemoglobin in urine direct antiglobulin test (DAT, direct Coomb's test) Donath-Landsteiner antibody test peripheral blood smear)
JAUNDICE	jaundice (icterus)	(BILIRUBIN_TOTAL_IN_SERUM BILIRUBIN_UNCONJUGATED_IN_SERUM BILIRUBIN_CONJUGATED_IN_SERUM DELTA_BILIRUBIN_IN_SERUM BILIRUBIN_IN_URINE)	(bilirubin (total) in serum (TBIL) bilirubin unconjugated in serum bilirubin conjugated in serum delta bilirubin in serum; bilirubin, albumin-bound in serum bilirubin in urine (Ictotest))
KERNICTERUS	kernicterus; neonatal jaundice; neonatal hyperbilirubinemia	(BILIRUBIN_TOTAL_IN_SERUM)	(bilirubin (total) in serum (TBIL))
MUSCLE_EYE_BRAIN_DISEASE	muscle-eye-brain disease (MEB)	(CREATINE_KINASE_IN_SERUM)	(creatine kinase (CK) in serum)
PELGER_HUET_ANOMALY	Pelger-Huet anomaly	(PERIPHERAL_BLOOD_SMEAR)	(peripheral blood smear)
CONGENITAL_GENERALIZED_LIPODYSTROPHY_TYPE_4	congenital generalized lipodystrophy type 4	(TRIGLYCERIDE_IN_SERUM)	(triglyceride in serum)
BERARDINELLI_SEIP_CONGENITAL_LIPODYSTROPHY_TYPE_3	congenital generalized lipodystrophy type 3; Berardinelli-Seip congenital lipodystrophy type 3	(TRIGLYCERIDE_IN_SERUM)	(triglyceride in serum)
BERARDINELLI_SEIP_CONGENITAL_LIPODYSTROPHY_TYPE_1	congenital generalized lipodystrophy type 1; Berardinelli-Seip congenital lipodystrophy type 1	(TRIGLYCERIDE_IN_SERUM GLUCOSE_IN_BLOOD)	(triglyceride in serum glucose in blood)
BILIARY_ATRESIA	biliary atresia	(BILIRUBIN_TOTAL_IN_SERUM ALKALINE_PHOSPHATASE_IN_SERUM GAMMA_GLUTAMYLTRANSFERASE_IN_SERUM ALANINE_AMINOTRANSFERASE_IN_SERUM ASPARTATE_AMINOTRANSFERASE_IN_SERUM BILE_ACIDS_IN_SERUM SWEAT_CHLORIDE)	(bilirubin (total) in serum (TBIL) alkaline phosphatase (ALP) in serum gamma-glutamyltransferase (GGT) in serum alanine aminotransferase (ALT) in serum (SGPT) aspartate aminotransferase (AST) in serum (SGOT) bile acids in serum chloride (Cl-) in sweat)
HEPATIC_ENCEPHALOPATHY	hepatic encephalopathy	(AMMONIA_IN_SERUM)	(ammonia (NH3) in serum)
HYPOPARATHYROIDISM	hypoparathyroidism	(CALCIUM_IN_SERUM/PLASMA IONIZED_CA+2_IN_SERUM/PLASMA/BLOOD PARATHYROID_HORMONE_INTACT_IN_SERUM)	(calcium (Ca+2) in serum/plasma/blood ionized Ca+2 in serum/plasma/blood parathyroid hormone in serum/plasma)
AUTOSOMAL_DOMINANT_HYPOPARATHYROIDISM	autosomal dominant hypoparathyroidism; familial isolated hypoparathyroidism; autosomal dominant hypocalcemia	(ALBUMIN_IN_SERUM CALCIUM_IN_SERUM/PLASMA PHOSPHORUS_IN_SERUM)	(albumin in serum calcium (Ca+2) in serum/plasma/blood phosphorus (inorganic phosphate) in serum)
OBESITY	obesity	(COMPLETE_BLOOD_COUNT GLUCOSE_IN_BLOOD ELECTROLYTES_IN_SERUM CALCIUM_IN_SERUM/PLASMA MAGNESIUM_IN_SERUM URIC_ACID_IN_SERUM LIVER_FUNCTION_TEST THYROID_FUNCTION_TEST 24_HOUR_URINE CORTISOL_IN_URINE LIPID_PANEL)	(complete blood count (CBC) glucose in blood electrolytes in serum calcium (Ca+2) in serum/plasma/blood magnesium (Mg+2) in serum uric acid in serum liver (function) tests (LFT, liver panel, hepatic function panel) thyroid function test 24 hour urine cortisol in urine lipid panel (fasting lipid panel, FLP))
NEONATAL_SEVERE_PRIMARY_HYPERPARATHYROIDISM	neonatal severe primary hyperparathyroidism	(CALCIUM_IN_SERUM/PLASMA)	(calcium (Ca+2) in serum/plasma/blood)
HYPERTHYROIDISM	hyperthyroidism	(FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM THYROXINE_IN_SERUM FREE_T3_IN_SERUM THYROID_STIMULATING_IMMUNOGLOBULIN ANTI_THYROID_PEROXIDASE_ANTIBODY THYROGLOBULIN_IN_SERUM ERYTHROCYTE_SEDIMENTATION_RATE CREATINE_KINASE_IN_SERUM)	(thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum thyroxine [T4] (total) in serum triiodothyronine [T3] (free) in serum thyroid-stimulating immunoglobulin (TSI) anti-thyroid peroxidase (microsomal) antibody thyroglobulin in serum erythrocyte sedimentation rate (ESR) creatine kinase (CK) in serum)
SELECTIVE_PITUITARY_THYROID_HORMONE_RESISTANCE	selective pituitary thyroid hormone resistance (PRTH); familial hyperthyroidism due to inappropriate thyrotropin secretion	(FREE_T3_IN_SERUM FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM)	(triiodothyronine [T3] (free) in serum thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
THYROTOXIC_PERIODIC_PARALYSIS	thyrotoxic hypokalemic periodic paralysis	(POTASSIUM_IN_SERUM THYROID_FUNCTION_TEST THYROID_STIMULATING_HORMONE_IN_SERUM THYROXINE_IN_SERUM FREE_THYROXINE_IN_SERUM FREE_T3_IN_SERUM)	(potassium (K+) in serum/plasma thyroid function test thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum thyroxine [T4] (total) in serum thyroxine [T4] (free) in serum triiodothyronine [T3] (free) in serum)
FACTITIOUS_HYPERTHYROIDISM	factitious hyperthyroidism	(THYROXINE_IN_SERUM FREE_THYROXINE_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM THYROGLOBULIN_IN_SERUM)	(thyroxine [T4] (total) in serum thyroxine [T4] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum thyroglobulin in serum)
SUBCLINICAL_HYPERTHYROIDISM	subclinical hyperthyroidism	(FREE_THYROXINE_IN_SERUM FREE_T3_IN_SERUM THYROID_STIMULATING_HORMONE_IN_SERUM)	(thyroxine [T4] (free) in serum triiodothyronine [T3] (free) in serum thyroid-stimulating hormone (TSH) in serum; thyrotropin in serum)
EPILEPSY_DURING_PREGNANCY	epilepsy during pregnancy	(FREE_PHENYTOIN_IN_SERUM/PLASMA)	(free phenytoin in serum/plasma)
CONVULSIVE_STATUS_EPILEPTICUS	convulsive status epilepticus	(GLUCOSE_IN_SERUM/PLASMA ELECTROLYTES_IN_SERUM CALCIUM_IN_SERUM/PLASMA MAGNESIUM_IN_SERUM UREA_NITROGEN_IN_SERUM/PLASMA THERAPEUTIC_DRUG_MEASUREMENT COMPLETE_BLOOD_COUNT URINE_TOXICOLOGY)	(glucose in serum/plasma electrolytes in serum calcium (Ca+2) in serum/plasma/blood magnesium (Mg+2) in serum urea nitrogen in serum/plasma therapeutic drug measurement complete blood count (CBC) urine toxicology)
BIPOLAR_DISORDER	bipolar affective disorder	(THYROID_FUNCTION_TEST NUCLEAR_ANTIBODY_IN_BODY_FLUID)	(thyroid function test nuclear antibody in body fluid)
DEMENTIA	dementia	(COMPLETE_BLOOD_COUNT CHEMISTRY_14_PANEL ELECTROLYTE_PANEL ALBUMIN_IN_SERUM CALCIUM_IN_SERUM/PLASMA LIVER_FUNCTION_TEST RENAL_FUNCTION_TEST THYROID_FUNCTION_TEST METHYLMALONATE_IN_SERUM VITAMIN_B12_IN_SERUM/PLASMA URINALYSIS SEROLOGY VDRL_REAGIN_SLIDE RAPID_PLASMA_REAGIN FOLATE_IN_SERUM/PLASMA HOMOCYSTEINE_IN_SERUM/PLASMA PARATHYROID_HORMONE_INTACT_IN_SERUM COSYNTROPIN_STIMULATION_TEST ERYTHROCYTE_SEDIMENTATION_RATE)	(complete blood count (CBC) chemistry 14 panel (comprehensive metabolic panel, CMP, chem 12, SMA12, SMA20) electrolyte panel albumin in serum calcium (Ca+2) in serum/plasma/blood liver (function) tests (LFT, liver panel, hepatic function panel) renal function tests; renal function panel thyroid function test methylmalonate in serum vitamin B12 in serum/plasma urinalysis (UA) serology VDRL reagin slide (VDRL) rapid plasma reagin (RPR) folate in serum/plasma homocysteine in serum/plasma parathyroid hormone in serum/plasma cosyntropin (ACTH, Cortrosyn) stimulation test (delta cortisol test) erythrocyte sedimentation rate (ESR))
RAPIDLY_PROGRESSIVE_DEMENTIA	rapidly progressive dementia	(PROTEIN_14_3_3_IN_CEREBROSPINAL_FLUID)	(protein 14-3-3 in cerebrospinal fluid)
ANXIETY_DISORDER	anxiety disorder	(COMPLETE_BLOOD_COUNT GLUCOSE_IN_SERUM/PLASMA ELECTROLYTES_IN_SERUM THYROID_FUNCTION_TEST URINALYSIS URINE_TOXICOLOGY PULSE_OXIMETRY)	(complete blood count (CBC) glucose in serum/plasma electrolytes in serum thyroid function test urinalysis (UA) urine toxicology pulse oximetry)
