disease	name	symptoms	symptomNames
HEPATOLENTICULAR_DEGENERATION	hepatolenticular degeneration; Wilson's disease	(HEPATIC_COMA HEPATOMEGALY KAYSER_FLEISCHER_RING ATAXIA DYSTONIA PERSONALITY_CHANGE SIALORRHEA RIGIDITY TREMOR)	(hepatic coma hepatomegaly Kayser-Fleischer ring ataxia dystonia personality change sialorrhea rigidity tremor)
AMYOTROPHY_DEMENTIA_PARKINSONISM	familial amyotrophy-dementia-parkinsonism	(TREMOR MUSCLE_RIGIDITY MUSCULAR_ATROPHY WEAKNESS COGNITIVE_IMPAIRMENT)	(tremor muscle rigidity muscle atrophy (amyotrophy) weakness cognitive impairment)
ALPERS^_DISEASE	Alper's disease; progressive sclerosing poliodystrophy	(BLINDNESS JAUNDICE DEMENTIA SPASTICITY HYPOTONIA MENTAL_RETARDATION CONVULSION)	(blindness jaundice (icterus) dementia spasticity hypotonia mental retardation; developmental intellectual disorder convulsion)
ALCOHOL_ASSOCIATED_DEMENTIA	alcohol-associated dementia	(ATAXIA MEMORY_IMPAIRMENT)	(ataxia memory impairment)
NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_2B	neurodegeneration with brain iron accumulation 2B	(DYSARTHRIA DYSTONIA RIGIDITY)	(dysarthria dystonia rigidity)
NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_2A	neurodegeneration with brain iron accumulation 2A; infantile neuroaxonal dystrophy; Seitelberger disease	(EPILEPSY PARALYSIS MENTAL_RETARDATION)	(epilepsy paralysis mental retardation; developmental intellectual disorder)
INFANTILE_ONSET_ASCENDING_SPASTIC_PARALYSIS	infantile-onset ascending spastic paralysis	(WEAKNESS SPASTICITY)	(weakness spasticity)
PROGRESSIVE_LOWER_MOTOR_NEURON_DISEASE	progressive lower motor neuron disease (PLMND)	(WEAKNESS MUSCULAR_ATROPHY FACIAL_WEAKNESS VOCAL_CORD_PARALYSIS)	(weakness muscle atrophy (amyotrophy) facial weakness vocal cord paralysis)
MONOMELIC_AMYOTROPHY	monomelic amyotrophy; benign focal amyotrophy; Hirayama syndrome; O'Sullivan-McLeod syndrome	(LOSS_OF_SENSATION WEAKNESS)	(loss of sensation weakness)
X_LINKED_BULBOSPINAL_MUSCULAR_ATROPHY	X-linked bulbospinal muscular atrophy (Kennedy's disease)	(MENTAL_RETARDATION)	(mental retardation; developmental intellectual disorder)
DENTATORUBRAL_PALLIDOLUYSIAN_ATROPHY	dentatorubral-pallidoluysian atrophy (DRPLA)	(HYPERREFLEXIA DEMENTIA MYOCLONIC_EPILEPSY CHOREOATHETOSIS RIGIDITY CEREBELLAR_ATAXIA)	(hyperreflexia dementia myoclonic epilepsy choreoathetosis rigidity cerebellar ataxia (cerebellar syndrome, cerebellar dysmetria))
HUNTINGTON^S_DISEASE	Huntington's disease; Huntington's chorea (progressive hereditary chorea)	(DEEP_TENDON_REFLEX RESTLESSNESS DEMENTIA MEMORY_IMPAIRMENT)	(deep tendon reflex (DTR) restlessness dementia memory impairment)
MYOTONIC_DYSTROPHY	myotonic dystrophy; Steinert disease; myotonia dystrophica	(THIRD_DEGREE_ATRIOVENTRICULAR_BLOCK CATARACTS BLEPHAROPTOSIS ANDROGENIC_ALOPECIA WEAKNESS MUSCLE_WEAKNESS MYOTONIA)	(third-degree atrioventricular (AV) block (complete heart block) cataracts blepharoptosis; ptosis; lid lag androgenic alopecia; androgenetic alopecia; male balding pattern weakness muscle weakness myotonia)
MENINGITIS	meningitis	(IRRITABILITY TACHYARRHYTHMIA PURPURA PETECHIAE BRUDZINKI^S_SIGN KERNIG^S_SIGN SEIZURE NUCHAL_RIGIDITY PHOTOPHOBIA NAUSEA VOMITING FEVER HEADACHE)	(irritability (impatience, hyperexcitability) tachyarrhythmia (tachycardia) purpura petechia Brudzinki's sign Kernig's sign seizure; epileptic seizure nuchal rigidity (neck stiffness) photophobia nausea vomiting fever headache)
BACTERIAL_MENINGITIS	bacterial meningitis	(IRRITABILITY TACHYARRHYTHMIA PURPURA PETECHIAE BRUDZINKI^S_SIGN KERNIG^S_SIGN SEIZURE NUCHAL_RIGIDITY PHOTOPHOBIA NAUSEA VOMITING FEVER HEADACHE)	(irritability (impatience, hyperexcitability) tachyarrhythmia (tachycardia) purpura petechia Brudzinki's sign Kernig's sign seizure; epileptic seizure nuchal rigidity (neck stiffness) photophobia nausea vomiting fever headache)
ASEPTIC_MENINGITIS	aseptic meningitis	(MENINGITIS)	(meningitis)
VIRAL_MENINGITIS	viral meningitis	(RASH MENINGITIS VIRAL_MENINGITIS)	(rash meningitis viral meningitis)
ARACHNOIDITIS	arachnoiditis	(PAIN NUMBNESS PARESTHESIA)	(pain [odyn-] numbness paresthesia)
MOLLARET^S_MENINGITIS	Mollaret's meningitis (benign recurrent lymphocytic meningitis)	(DIPLOPIA SEIZURE HALLUCINATION MENINGITIS FEVER HEADACHE VOMITING NUCHAL_RIGIDITY)	(diplopia (double vision) seizure; epileptic seizure hallucination meningitis fever headache vomiting nuchal rigidity (neck stiffness))
PRIMARY_LATERAL_SCLEROSIS	primary lateral sclerosis (PLS)	(DYSARTHRIA SPASTICITY WEAKNESS MUSCLE_WEAKNESS)	(dysarthria spasticity weakness muscle weakness)
AMYOTROPHIC_LATERAL_SCLEROSIS	amyotrophic lateral sclerosis (ALS); Lou Gerig's disease	(DYSPHAGIA DYSARTHRIA MYOCLONUS BABINSKI^S_SIGN SPASTICITY REFLEX HYPOREFLEXIA HYPERREFLEXIA FASCICULATION MUSCLE_CRAMP MUSCLE_STIFFNESS MUSCULAR_ATROPHY MUSCLE_WEAKNESS LOWER_MOTOR_NEURON_SIGN UPPER_MOTOR_NEURON_SIGN)	(dysphagia (swallowing disorder) dysarthria myoclonus Babinski's sign spasticity reflex hyporeflexia hyperreflexia fasciculation (muscle twitching) muscle cramp muscle stiffness muscle atrophy (amyotrophy) muscle weakness lower motor neuron sign upper motor neuron sign (pyramidal tract sign))
AMYOTROPHIC_LATERAL_SCLEROSIS_TYPE_2	amyotrophic lateral sclerosis type 2; juvenile amyotrophic lateral sclerosis	(PARALYSIS MUSCULAR_ATROPHY FASCICULATION SPASTICITY HYPERREFLEXIA)	(paralysis muscle atrophy (amyotrophy) fasciculation (muscle twitching) spasticity hyperreflexia)
AMYOTROPHIC_LATERAL_SCLEROSIS_TYPE_17	amyotrophic lateral sclerosis type 17	(MUSCLE_WEAKNESS)	(muscle weakness)
TEMPORAL_LOBE_EPILEPSY	temporal lobe (psychomotor) epilepsy	(COMPLEX_PARTIAL_SEIZURE AUTOMATISM)	(complex partial seizure automatism)
MYOCLONIC_EPILEPSY	myoclonic epilepsy	(MYOCLONIC_SEIZURE)	(myoclonic seizure)
SEVERE_MYOCLONIC_EPILEPSY_IN_INFANCY	severe myoclonic epilepsy in infancy (SMEI); Dravet syndrome	(SEVERE_MYOCLONIC_EPILEPSY_IN_INFANCY EPILEPSY FEBRILE_SEIZURE SEIZURE ABSENCE_SEIZURE MYOCLONIC_SEIZURE COMPLEX_PARTIAL_SEIZURE FEVER)	(severe myoclonic epilepsy in infancy (SMEI); Dravet syndrome epilepsy febrile seizure seizure; epileptic seizure absence (petit-mal) seizure myoclonic seizure complex partial seizure fever)
PROGRESSIVE_MYOCLONIC_EPILEPSY_TYPE_1	progressive myoclonic epilepsy type 1	(DEMENTIA CONVULSION MYOCLONUS)	(dementia convulsion myoclonus)
JUVENILE_MYOCLONIC_EPILEPSY	juvenile myoclonic epilepsy (of Janz)	(FATIGUE SLEEP_DEPRIVATION ABSENCE_SEIZURE SEIZURE GENERALIZED_TONIC_CLONIC_SEIZURE)	(fatigue; lassitude; tiredness sleep deprivation absence (petit-mal) seizure seizure; epileptic seizure generalized tonic-clonic (grand-mal) seizure (GTCS, PGTCS, PGTC))
RESTING_TREMOR	resting tremor	(TREMOR)	(tremor)
ESSENTIAL_TREMOR	essential tremor	(FATIGUE TREMOR)	(fatigue; lassitude; tiredness tremor)
POSTHYPOXIC_MYOCLONUS	posthypoxic myoclonus (Lance-Adams syndrome)	(ASTERIXIS MYOCLONUS SHOCK)	(asterixis (liver flap) myoclonus shock)
MYOCLONIC_DYSTONIA	myoclonic dystonia; alcohol-responsive dystonia; dystonia-11	(DYSTONIA MYOCLONUS)	(dystonia myoclonus)
NOCTURNAL_MYOCLONUS	nocturnal myoclonus (periodic limb movement disorder, PLMD, periodic limb movements of sleep, PLMS)	(HYPERSOMNIA INSOMNIA)	(hypersomnia (hypersomnolence, excessive sleepiness) insomnia)
VESTIBULAR_DISORDER	vestibular disorder	(VERTIGO)	(vertigo)
HERPES_ZOSTER_OTICUS	Herpes zoster oticus (Ramsay Hunt syndrome type 1)	(FACIAL_WEAKNESS VERTIGO HEARING_LOSS PAIN PARESTHESIA)	(facial weakness vertigo hearing loss (hearing impairment, hard of hearing, HOH) pain [odyn-] paresthesia)
VESTIBULAR_NEURONITIS	vestibular neuronitis (acoustic neuritis)	(NAUSEA VOMITING BALANCE_DISORDER VERTIGO)	(nausea vomiting balance disorder vertigo)
LABYRINTHITIS	labyrinthitis	(HEARING_LOSS BALANCE_DISORDER NAUSEA VOMITING VERTIGO)	(hearing loss (hearing impairment, hard of hearing, HOH) balance disorder nausea vomiting vertigo)
VERTIGO	vertigo	(ATAXIA HEADACHE DIPLOPIA DYSARTHRIA FOCAL_NEUROLOGIC_SIGN TINNITUS HEARING_LOSS VERTIGO NYSTAGMUS PERIPHERAL_VERTIGO CENTRAL_VERTIGO)	(ataxia headache diplopia (double vision) dysarthria focal neurologic sign tinnitus hearing loss (hearing impairment, hard of hearing, HOH) vertigo nystagmus peripheral vertigo central vertigo)
PERIPHERAL_VERTIGO	peripheral vertigo	(TINNITUS VERTIGO NYSTAGMUS CENTRAL_VERTIGO OSCILLOPSIA HEARING_LOSS NAUSEA VOMITING)	(tinnitus vertigo nystagmus central vertigo oscillopsia hearing loss (hearing impairment, hard of hearing, HOH) nausea vomiting)
CENTRAL_VERTIGO	central vertigo	(VERTIGO VERTICAL_NYSTAGMUS NYSTAGMUS PERIPHERAL_VERTIGO NAUSEA VOMITING)	(vertigo vertical nystagmus nystagmus peripheral vertigo nausea vomiting)
BENIGN_POSITIONAL_VERTIGO	benign positional vertigo	(NYSTAGMUS VASOVAGAL_REACTION PALLOR PERSPIRATION NAUSEA VOMITING DIPLOPIA BLURRY_VISION VERTIGO)	(nystagmus vasovagal reaction (fainting) pallor perspiration (sweating) nausea vomiting diplopia (double vision) blurry vision (decreased visual acuity, DVA) vertigo)
VESTIBULAR_PAROXYSMIA	vestibular paroxysmia	(VERTIGO HYPERVENTILATION)	(vertigo hyperventilation)
OTITIS_EXTERNA	otitis externa	(CERVICAL_LYMPHADENOPATHY PAIN ERYTHEMA CELLULITIS VERTIGO CONDUCTIVE_HEARING_LOSS PRURITIS EARACHE)	(cervical lymphadenopathy pain [odyn-] erythema cellulitis vertigo conductive hearing loss pruritis (itching) earache; otalgia)
MALIGNANT_OTITIS_EXTERNA	malignant otitis externa	(PAIN FEVER)	(pain [odyn-] fever)
SWIMMER^S_EAR	swimmer's ear (tropical ear)	(EDEMA ERYTHEMA JAW_PAIN HEARING_LOSS PRURITIS EARACHE)	(edema (swelling) erythema jaw pain hearing loss (hearing impairment, hard of hearing, HOH) pruritis (itching) earache; otalgia)
OTOMYCOSIS	otomycosis; fungal otitis externa	(INFLAMMATION PAIN PRURITIS)	(inflammation pain [odyn-] pruritis (itching))
MENIERE^S_DISEASE	Meniere's disease; labyrinthine hydrops; endolymphatic hydrops	(TYPE_1_HYPERSENSITIVITY PERSPIRATION PALLOR BRADYARRHYTHMIA ABDOMINAL_PAIN RECRUITMENT_OF_LOUDNESS DIPLACUSIS HEARING_LOSS TINNITUS NAUSEA VOMITING VERTIGO)	(type 1 hypersensitivity; immediate hypersensitivity (allergy) perspiration (sweating) pallor bradyarrhythmia (bradycardia) abdominal pain recruitment of loudness; auditory recruitment diplacusis hearing loss (hearing impairment, hard of hearing, HOH) tinnitus nausea vomiting vertigo)
PNEUMOTHORAX	pneumothorax	(DYSPNEA PLEURITIS)	(dyspnea (shortness of breath {SOB}) pleuritis (pleurisy))
PLEURITIS	pleuritis (pleurisy)	(FRICTION_RUB PLEURITIS PLEURAL_EFFUSION FEVER CHILLS DYSPNEA COUGH PAIN)	(friction rub (friction fremitus) pleuritis (pleurisy) pleural effusion fever chills/rigors dyspnea (shortness of breath {SOB}) cough pain [odyn-])
PLEURAL_EFFUSION	pleural effusion	(TACTILE_FREMITUS)	(tactile fremitus)
PNEUMOPERICARDIUM	pneumopericardium	(MURMUR)	(murmur)
TENSION_PNEUMOTHORAX	tension pneumothorax	(HYPOTENSION AGITATION)	(hypotension agitation)
CHYLOUS_PLEURAL_EFFUSION	chylous pleural effusion	(DYSPNEA)	(dyspnea (shortness of breath {SOB}))
BRONCHIOLITIS_OBLITERANS	bronchiolitis obliterans with organizing pneumonia; cryptogenic organizing pneumonia (BOOP)	(PULMONARY_CRACKLES COUGH EXERTIONAL_DYSPNEA)	(pulmonary crackles; rales cough exertional dyspnea; dyspnea on exertion (DOE))
RESPIRATORY_BRONCHIOLITIS_ASSOCIATED_INTERSTITIAL_LUNG_DISEASE	respiratory bronchiolitis associated interstitial lung disease (desquamative interstitial pneumonia, RBILD)	(DYSPNEA COUGH)	(dyspnea (shortness of breath {SOB}) cough)
CROUP	croup (laryngotracheobronchitis)	(NOISY_RESPIRATION COUGH)	(noisy rattle cough)
ACUTE_BRONCHITIS	acute bronchitis	(WHEEZE RHINORRHEA CERVICAL_LYMPHADENOPATHY DYSPNEA COUGH)	(wheeze rhinorrhea cervical lymphadenopathy dyspnea (shortness of breath {SOB}) cough)
CHRONIC_BRONCHITIS	chronic bronchitis	(DYSPNEA OVERWEIGHT CYANOSIS COUGH)	(dyspnea (shortness of breath {SOB}) overweight cyanosis cough)
ASTHMA	asthma	(TACTILE_FREMITUS COUGH DYSPNEA WHEEZE CHEST_TIGHTNESS)	(tactile fremitus cough dyspnea (shortness of breath {SOB}) wheeze chest tightness)
CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE	chronic obstructive pulmonary disease (COPD)	(WEAKNESS WEIGHT_LOSS MUSCULAR_ATROPHY EMPHYSEMA CHRONIC_COUGH FATIGUE DYSPNEA)	(weakness weight loss muscle atrophy (amyotrophy) emphysema chronic cough fatigue; lassitude; tiredness dyspnea (shortness of breath {SOB}))
EOSINOPHILIC_BRONCHITIS	eosinophilic bronchitis	(CHRONIC_COUGH)	(chronic cough)
EXERCISE_INDUCED_ASTHMA	exercise-induced asthma	(BRONCHOCONSTRICTION BRONCHOSPASM)	(bronchoconstriction bronchospasm)
ASTHMA_RELATED_TRAITS	asthma-related traits	(ASTHMA DYSPNEA WHEEZE COUGH)	(asthma dyspnea (shortness of breath {SOB}) wheeze cough)
MILD_PERSISTENT_ASTHMA	mild-persistent asthma	(ASTHMA)	(asthma)
OCCUPATIONAL_ASTHMA	occupational asthma	(TYPE_4_HYPERSENSITIVITY TYPE_1_HYPERSENSITIVITY)	(type 4 hypersensitivity; T-cell-mediated (delayed) hypersensitivity type 1 hypersensitivity; immediate hypersensitivity (allergy))
STATUS_ASTHMATICUS	status asthmaticus	(PULSUS_PARADOXUS)	(pulsus paradoxus)
ASTHMA_IN_THE_ELDERLY	asthma in the elderly	(ASTHMA)	(asthma)
PULMONARY_EMPHYSEMA	pulmonary emphysema	(WEIGHT_LOSS DYSPNEA WHEEZE PULMONARY_CRACKLES TACHYPNEA COUGH)	(weight loss dyspnea (shortness of breath {SOB}) wheeze pulmonary crackles; rales tachypnea cough)
COPD_EXACERBATION	COPD exacerbation	(FATIGUE DYSPNEA)	(fatigue; lassitude; tiredness dyspnea (shortness of breath {SOB}))
PLEOMORPHIC_ADENOMA	pleomorphic adenoma; benign mixed tumor	(EDEMA)	(edema (swelling))
EMBRYONAL_SARCOMA_OF_LIVER	embryonal sarcoma of liver	(WEIGHT_LOSS FEVER)	(weight loss fever)
ALCOHOLIC_HEPATITIS	alcoholic hepatitis	(ASCITES FEVER JAUNDICE HEPATOMEGALY ABDOMINAL_PAIN)	(ascites fever jaundice (icterus) hepatomegaly abdominal pain)
CHOLECYSTITIS	cholecystitis	(MURPHY_SIGN FEVER NAUSEA VOMITING REBOUND_TENDERNESS PAIN)	(Murphy inspiratory arrest sign fever nausea vomiting rebound tenderness pain [odyn-])
ACALCULOUS_CHOLECYSTITIS	acalculous cholecystitis	(FEVER RIGHT_UPPER_QUADRANT_PAIN)	(fever right upper quadrant pain)
GASTROPARESIS	gastroparesis	(DYSPEPSIA WEIGHT_LOSS ABDOMINAL_DISTENTION NAUSEA VOMITING)	(dyspepsia (indigestion) weight loss abdominal distention nausea vomiting)
DIABETIC_GASTROPARESIS	diabetic gastroparesis	(DIARRHEA ABDOMINAL_PAIN ABDOMINAL_DISTENTION NAUSEA VOMITING)	(diarrhea abdominal pain abdominal distention nausea vomiting)
ESOPHAGEAL_DYSMOTILITY	esophageal dysmotility	(CHEST_PAIN PULMONARY_ASPIRATION DYSPHAGIA)	(chest pain pulmonary aspiration dysphagia (swallowing disorder))
ESOPHAGEAL_SPASM	esophageal spasm	(ANGINA_PECTORIS DYSPHAGIA PAIN STRESS)	(angina pectoris dysphagia (swallowing disorder) pain [odyn-] stress)
ACHALASIA	achalasia (cardiospasm)	(WEIGHT_LOSS COUGH ODYNOPHAGIA DYSPHAGIA)	(weight loss cough odynophagia (swallowing pain) dysphagia (swallowing disorder))
APPENDICITIS	appendicitis	(HYPERESTHESIA FEVER ANOREXIA NAUSEA VOMITING REBOUND_TENDERNESS RIGHT_LOWER_QUADRANT_PAIN PAIN ABDOMINAL_PAIN)	(hyperesthesia (hyperalgesia) fever anorexia nausea vomiting rebound tenderness right lower quadrant pain pain [odyn-] abdominal pain)
DIABETIC_AMYOTROPHY	diabetic amyotrophy/lumbar polyradiculopathy; diabetic lumbosacral radiculoplexus neuropathy (DLRPN)	(NUMBNESS PROXIMAL_MUSCLE_WEAKNESS PAIN)	(numbness proximal muscle weakness pain [odyn-])
PAINLESS_DIABETIC_MOTOR_NEUROPATHY	painless diabetic motor neuropathy	(WEIGHT_LOSS FOOT_DROP MUSCLE_WEAKNESS)	(weight loss foot drop muscle weakness)
MYOTONIA	myotonia	(MUSCLE_STIFFNESS)	(muscle stiffness)
PSEUDOGOUT	pseudogout [calcium pyrophosphate dihydrate crystal deposition] or CPPD disease	(OSTEOARTHRITIS EDEMA MORNING_STIFFNESS FEVER ARTHRITIS INFLAMMATION PSEUDOGOUT)	(osteoarthritis (OA) edema (swelling) morning stiffness fever arthritis inflammation pseudogout [calcium pyrophosphate dihydrate crystal deposition] or CPPD disease)
GOUT	gout	(PODAGRA EDEMA GOUT)	(podagra edema (swelling) gout)
HYDROXYAPATITE_DEPOSITION_DISEASE	hydroxyapatite deposition disease (basic calcium phosphate deposition disease)	(CHRONIC_INFLAMMATION SCLERODERMA ARTHRITIS PERIARTHRITIS OSTEOARTHRITIS CALCIFIC_TENDONITIS ACUTE_INFLAMMATION)	(chronic inflammation scleroderma (systemic sclerosis) arthritis periarthritis osteoarthritis (OA) calcific tendonitis acute inflammation)
CHONDROCALCINOSIS	chondrocalcinosis	(PAIN ARTHRITIS)	(pain [odyn-] arthritis)
SPONDYLOARTHROPATHY	spondyloarthropathy (HLA B27-associated arthritis, seronegative spondyloarthropathy)	(PAIN REACTIVE_ARTHRITIS ANKYLOSING_SPONDYLITIS INFLAMMATORY_BOWEL_DISEASE ANTERIOR_UVEITIS INFLAMMATION ARTHRITIS TENOSYNOVITIS DACTYLITIS SPONDYLITIS SACROILIITIS)	(pain [odyn-] reactive arthritis ankylosing spondylitis (AS, Marie Strumpell disease, Bechterew's disease) inflammatory bowel disease anterior uveitis (iritis, iridocyclitis) inflammation arthritis tenosynovitis dactylitis (sausage digit) spondylitis sacroliiltis)
ANKYLOSING_SPONDYLITIS	ankylosing spondylitis (AS, Marie Strumpell disease, Bechterew's disease)	(INFLAMMATORY_BOWEL_DISEASE RIGIDITY FEVER FATIGUE WEIGHT_LOSS ANTERIOR_UVEITIS ATROPHY INFLAMMATION ARTHRITIS ACHILLES_TENDONITIS MORNING_STIFFNESS PAIN LOW_BACK_PAIN)	(inflammatory bowel disease rigidity fever fatigue; lassitude; tiredness weight loss anterior uveitis (iritis, iridocyclitis) atrophy inflammation arthritis Achilles tendonitis morning stiffness pain [odyn-] low back pain (LBP))
PSORIATIC_ARTHRITIS	psoriatic arthritis	(CONJUNCTIVITIS ANTERIOR_UVEITIS TENDONITIS TENOSYNOVITIS HEEL_PAIN PITTING_EDEMA ONYCHOLYSIS SPONDYLITIS ARTHRITIS_MUTILANS ANKYLOSIS DACTYLITIS ARTHRITIS)	(conjunctivitis anterior uveitis (iritis, iridocyclitis) tendonitis (tendon injury) tenosynovitis heel pain pitting edema onycholysis spondylitis arthritis mutilans ankylosis dactylitis (sausage digit) arthritis)
ENTEROPATHIC_ARTHRITIS	enteropathic arthritis	(THROMBOEMBOLISM KERATITIS EPISCLERITIS CONJUNCTIVITIS ANTERIOR_UVEITIS ERYTHEMA_NODOSUM PYODERMA_GANGRENOSUM SPONDYLITIS CROHN^S_DISEASE ULCERATIVE_COLITIS OLIGOARTICULAR_ARTHRITIS INFLAMMATORY_BOWEL_DISEASE)	(thromboembolism keratitis episcleritis conjunctivitis anterior uveitis (iritis, iridocyclitis) erythema nodosum (septal panniculitis) pyoderma gangrenosum spondylitis Crohn's disease; terminal ileitis; regional enteritis; granulomatous enteritis; chronic cicatrizing enteritis ulcerative colitis oligoarticular arthritis inflammatory bowel disease)
REACTIVE_ARTHRITIS	reactive arthritis	(UVEITIS CONJUNCTIVITIS SPONDYLITIS SACROILIITIS REITER^S_SYNDROME ARTHRITIS BALANITIS KERATODERMA_BLENORRHAGICUM ULCER RED_EYE PLANTAR_FASCIITIS ACHILLES_TENDONITIS DACTYLITIS TENOSYNOVITIS POLYARTICULAR_ARTHRITIS)	(uveitis conjunctivitis spondylitis sacroliiltis Reiter's syndrome arthritis balanitis keratoderma blenorrhagicum ulcer red eye (pink eye, ocular erythema) plantar fasciitis Achilles tendonitis dactylitis (sausage digit) tenosynovitis polyarticular arthritis)
JANSEN_TYPE_METAPHYSEAL_CHONDRODYSPLASIA	Jansen-type metaphyseal chondrodysplasia	(HYPERCALCEMIA HYPOPHOSPHATEMIA OSTEOPENIA HYPERTELORISM DEAFNESS MICROGNATHIA BRACHYCEPHALY SHORT_STATURE)	(hypercalcemia hypophosphatemia osteopenia hypertelorism deafness micrognathia brachycephaly short stature)
SCHMID_TYPE_METAPHYSEAL_CHONDRODYSPLASIA	Schmid type metaphyseal chondrodysplasia; includes: spondylometaphyseal dysplasia Japanese type	(PLATYSPONDYLY SHORT_STATURE)	(platyspondyly (platyspondylisis) short stature)
METATROPIC_DWARFISM_TYPE_2	metatropic dwarfism type 2 (Kniest dysplasia, Kniest syndrome)	(HEARING_LOSS MYOPIA CLEFT_PALATE)	(hearing loss (hearing impairment, hard of hearing, HOH) myopia cleft palate)
DESBUQUOIS_DYSPLASIA	Desbuquois dysplasia	(GROWTH_RETARDATION)	(growth retardation)
ACROMESOMELIC_CHONDRODYSPLASIA	acromesomelic chondrodysplasia	(BRACHYDACTYLY SHORT_STATURE)	(brachydactyly short stature)
PYCNODYSOSTOSIS	pycnodysostosis	(SHORT_STATURE OSTEOSCLEROSIS)	(short stature osteosclerosis)
PSEUDOACHONDROPLASIA	pseudoachondroplasia	(OSTEOARTHRITIS SHORT_STATURE)	(osteoarthritis (OA) short stature)
MULTIPLE_EPIPHYSEAL_DYSPLASIA	multiple epiphyseal dysplasia (EDM)	(OSTEOARTHRITIS SHORT_STATURE ARTHRALGIA)	(osteoarthritis (OA) short stature arthralgia)
SPONDYLOEPIPHYSEAL_DYSPLASIA_WITH_CONGENITAL_JOINT_DISLOCATIONS	spondyloepiphyseal dysplasia with congenital joint dislocations (SEDC-JD)	(ARTHRITIS SHORT_STATURE CLUBFOOT)	(arthritis short stature clubfoot (talipes equinovarus))
SPONDYLOEPIPHYSEAL_DYSPLASIA_STRUDWICK_TYPE	spondyloepiphyseal dysplasia congenital type (SEMD-STR)	(CLUBFOOT SHORT_STATURE)	(clubfoot (talipes equinovarus) short stature)
SPONDYLOEPIPHYSEAL_DYSPLASIA_CONGENITAL_TYPE	spondyloepiphyseal dysplasia congenital type (SEDC)	(SHORT_STATURE)	(short stature)
SPONDYLOEPIPHYSEAL_DYSPLASIA_TYPE_KIMBERLEY	spondyloepiphyseal dysplasia type Kimberley (SEDK)	(OSTEOARTHRITIS)	(osteoarthritis (OA))
MULTIPLE_EPIPHYSEAL_DYSPLASIA_WITH_MYOPIA_&_CONDUCTIVE_DEAFNESS	multiple epiphyseal dysplasia with myopia & conductive deafness	(DEAFNESS CATARACTS MYOPIA)	(deafness cataracts myopia)
SLIPPED_FEMORAL_EPIPHYSIS	slipped femoral epiphysis	(ABDOMINAL_GUARDING HIP_PAIN KNEE_PAIN)	(abdominal guarding hip pain knee pain)
BRACHYDACTYLY_TYPE_A	brachydactyly type A	(BRACHYDACTYLY)	(brachydactyly)
BRACHYDACTYLY_TYPE_B	brachydactyly type B	(SYNDACTYLY BRACHYDACTYLY)	(syndactyly brachydactyly)
PREAXIAL_POLYDACTYLY_TYPE_4	type 4 preaxial polydactyly	(SYNDACTYLY)	(syndactyly)
BRACHYDACTYLY_TYPE_A1	brachydactyly type A1	(BRACHYDACTYLY)	(brachydactyly)
BRACHYDACTYLY_TYPE_A2	brachydactyly type A2	(BRACHYDACTYLY)	(brachydactyly)
ENDOMETRIAL_CANCER	endometrial cancer (carcinoma)	(VAGINAL_DISCHARGE VAGINAL_BLEEDING)	(vaginal discharge vaginal bleeding; abnormal uterine bleeding; anovulatory bleeding)
KIDNEY_NEOPLASM	kidney neoplasm	(FEVER_OF_UNKNOWN_ORIGIN FEVER HEMATURIA UNINTENTIONAL_WEIGHT_LOSS FATIGUE BONE_PAIN NIGHT_SWEATS FLANK_PAIN)	(fever of unknown origin (FUO) fever hematuria unintentional weight loss fatigue; lassitude; tiredness bone pain night sweats flank pain)
BLADDER_CANCER	bladder cancer	(BONE_PAIN ABDOMINAL_PAIN WEIGHT_LOSS SIGN/SYMPTOM DYSURIA IRRITATION HEMATURIA)	(bone pain abdominal pain weight loss sign/symptom dysuria irritation hematuria)
TESTICULAR_CANCER	testicular cancer	(WEIGHT_LOSS LYMPHADENOPATHY BACK_PAIN COUGH DYSPNEA SIGN/SYMPTOM EDEMA SCROTAL_PAIN/MASS)	(weight loss lymphadenopathy back pain cough dyspnea (shortness of breath {SOB}) sign/symptom edema (swelling) scrotal pain/mass (testicular pain, testicular torsion))
CHRONIC_RENAL_FAILURE	chronic renal failure (CRF)	(SEIZURE ASTERIXIS GOUT PSEUDOGOUT CONSTIPATION INSULIN_RESISTANCE IMPOTENCE AMENORRHEA HYPERPHOSPHATEMIA HYPOCALCEMIA SECONDARY_HYPERPARATHYROIDISM DYSPNEA ASCITES HYPERTENSION PERIPHERAL_EDEMA HYPERVOLEMIA ANOREXIA PRURITIS DYSGEUSIA UREMIA SIGN/SYMPTOM NOCTURIA POLYURIA)	(seizure; epileptic seizure asterixis (liver flap) gout pseudogout [calcium pyrophosphate dihydrate crystal deposition] or CPPD disease constipation insulin resistance impotence amenorrhea (oligomenorrhea) hyperphosphatemia hypocalcemia secondary hyperparathyroidism dyspnea (shortness of breath {SOB}) ascites hypertension (HTN, high blood pressure, HBP) peripheral edema hypervolemia (extracellular volume overload) anorexia pruritis (itching) dysgeusia (taste disorder) uremia sign/symptom nocturia polyuria)
